Business Name,Address,Category,Google Maps Link,Website,Rating,Reviews,Phone
Cairo Capital Clinics,010 00066654,عيادة طبية,https://www.google.com/maps/place/Cairo+Capital+Clinics/data=!4m7!3m6!1s0x145841e5520a9f79:0xb41381ce57f0f127!8m2!3d30.0637796!4d31.2208016!16s%2Fg%2F11g3_9ywtc!19sChIJeZ8KUuVBWBQRJ_HwV86BE7Q?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Cairo+Capital+Clinics/data=!4m7!3m6!1s0x145841e5520a9f79:0xb41381ce57f0f127!8m2!3d30.0637796!4d31.2208016!16s%2Fg%2F11g3_9ywtc!19sChIJeZ8KUuVBWBQRJ_HwV86BE7Q?authuser=0&hl=ar&rclk=1,4.9,7.0,010 00066654
Gastrocare Clinic New Cairo - عيادات جستروكير,012 75377055,مركز طبي,https://www.google.com/maps/place/Gastrocare+Clinic+New+Cairo+-+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%AC%D8%B3%D8%AA%D8%B1%D9%88%D9%83%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14583d9ab446e487:0xd44eaf5aaa14f62c!8m2!3d30.0047873!4d31.4263788!16s%2Fg%2F11flc2blhv!19sChIJh-RGtJo9WBQRLPYUqlqvTtQ?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Gastrocare+Clinic+New+Cairo+-+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%AC%D8%B3%D8%AA%D8%B1%D9%88%D9%83%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14583d9ab446e487:0xd44eaf5aaa14f62c!8m2!3d30.0047873!4d31.4263788!16s%2Fg%2F11flc2blhv!19sChIJh-RGtJo9WBQRLPYUqlqvTtQ?authuser=0&hl=ar&rclk=1,4.8,160.0,012 75377055
Karim Zohdy Ortho Clinic,"11 Al Falki, Bab Al Louq, Abdeen, Cairo Governorate Andeen",جراح تقويم عظام,https://www.google.com/maps/place/Karim+Zohdy+Ortho+Clinic/data=!4m7!3m6!1s0x14584104202c0c4d:0xd22676075b4de3b5!8m2!3d30.0453286!4d31.2402099!16s%2Fg%2F11fd55lt9n!19sChIJTQwsIARBWBQRteNNWwd2JtI?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Karim+Zohdy+Ortho+Clinic/data=!4m7!3m6!1s0x14584104202c0c4d:0xd22676075b4de3b5!8m2!3d30.0453286!4d31.2402099!16s%2Fg%2F11fd55lt9n!19sChIJTQwsIARBWBQRteNNWwd2JtI?authuser=0&hl=ar&rclk=1,4.8,150.0,010 21211000
Denver clinic,010 99355211,جراح تجميل,https://www.google.com/maps/place/Denver+clinic/data=!4m7!3m6!1s0x145840fd18a4a965:0x46a20559be075f2b!8m2!3d30.0558698!4d31.2217712!16s%2Fg%2F1ptxms8_5!19sChIJZamkGP1AWBQRK18HvlkFokY?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Denver+clinic/data=!4m7!3m6!1s0x145840fd18a4a965:0x46a20559be075f2b!8m2!3d30.0558698!4d31.2217712!16s%2Fg%2F1ptxms8_5!19sChIJZamkGP1AWBQRK18HvlkFokY?authuser=0&hl=ar&rclk=1,4.1,30.0,010 99355211
دكتور أحمد إسماعيل شكري - أستاذ جراحة المسالك البولية والتناسلية وجراحة المسالك للأطفال,010 23654545,طبيب مسالك بولية,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84+%D8%B4%D9%83%D8%B1%D9%8A+-+%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%84%D9%83+%D8%A7%D9%84%D8%A8%D9%88%D9%84%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D9%86%D8%A7%D8%B3%D9%84%D9%8A%D8%A9+%D9%88%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%84%D9%83+%D9%84%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x145840b8de2837ed:0x748173cff18265f0!8m2!3d30.0458861!4d31.2423907!16s%2Fg%2F11g6q68lpn!19sChIJ7Tco3rhAWBQR8GWC8c9zgXQ?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84+%D8%B4%D9%83%D8%B1%D9%8A+-+%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%84%D9%83+%D8%A7%D9%84%D8%A8%D9%88%D9%84%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D9%86%D8%A7%D8%B3%D9%84%D9%8A%D8%A9+%D9%88%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%84%D9%83+%D9%84%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x145840b8de2837ed:0x748173cff18265f0!8m2!3d30.0458861!4d31.2423907!16s%2Fg%2F11g6q68lpn!19sChIJ7Tco3rhAWBQR8GWC8c9zgXQ?authuser=0&hl=ar&rclk=1,4.8,114.0,010 23654545
Home visit doctor - doctor house call,010 29029206,طبيب,https://www.google.com/maps/place/Home+visit+doctor+-+doctor+house+call/data=!4m7!3m6!1s0x14584151ecdc4429:0xc1ab9967409dca73!8m2!3d30.0330069!4d31.2265478!16s%2Fg%2F11k4wg3w8b!19sChIJKUTc7FFBWBQRc8qdQGeZq8E?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Home+visit+doctor+-+doctor+house+call/data=!4m7!3m6!1s0x14584151ecdc4429:0xc1ab9967409dca73!8m2!3d30.0330069!4d31.2265478!16s%2Fg%2F11k4wg3w8b!19sChIJKUTc7FFBWBQRc8qdQGeZq8E?authuser=0&hl=ar&rclk=1,5.0,1.0,010 29029206
د. ناصف محمد ناصف - استشاري جراحة العظام والمفاصل / Dr. Nasef Mohamed Nasef - Orthopedic Surgery Consultant,012 12283383,جراح تقويم عظام,https://www.google.com/maps/place/%D8%AF.+%D9%86%D8%A7%D8%B5%D9%81+%D9%85%D8%AD%D9%85%D8%AF+%D9%86%D8%A7%D8%B5%D9%81+-+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D8%B8%D8%A7%D9%85+%D9%88%D8%A7%D9%84%D9%85%D9%81%D8%A7%D8%B5%D9%84+%2F+Dr.+Nasef+Mohamed+Nasef+-+Orthopedic+Surgery+Consultant%E2%80%AD/data=!4m7!3m6!1s0x145840b5395756cd:0x95241a3d27f2bb2d!8m2!3d30.032749!4d31.241512!16s%2Fg%2F11c4slswl4!19sChIJzVZXObVAWBQRLbvyJz0aJJU?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D8%AF.+%D9%86%D8%A7%D8%B5%D9%81+%D9%85%D8%AD%D9%85%D8%AF+%D9%86%D8%A7%D8%B5%D9%81+-+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D8%B8%D8%A7%D9%85+%D9%88%D8%A7%D9%84%D9%85%D9%81%D8%A7%D8%B5%D9%84+%2F+Dr.+Nasef+Mohamed+Nasef+-+Orthopedic+Surgery+Consultant%E2%80%AD/data=!4m7!3m6!1s0x145840b5395756cd:0x95241a3d27f2bb2d!8m2!3d30.032749!4d31.241512!16s%2Fg%2F11c4slswl4!19sChIJzVZXObVAWBQRLbvyJz0aJJU?authuser=0&hl=ar&rclk=1,4.3,87.0,012 12283383
Elite Clinic,010 66262858,عيادة طبية,https://www.google.com/maps/place/Elite+Clinic/data=!4m7!3m6!1s0x145840cc96940491:0xb03bab502d58189!8m2!3d30.035627!4d31.2329791!16s%2Fg%2F11crzf8g1q!19sChIJkQSUlsxAWBQRiYHVArW6Aws?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Elite+Clinic/data=!4m7!3m6!1s0x145840cc96940491:0xb03bab502d58189!8m2!3d30.035627!4d31.2329791!16s%2Fg%2F11crzf8g1q!19sChIJkQSUlsxAWBQRiYHVArW6Aws?authuser=0&hl=ar&rclk=1,5.0,1.0,010 66262858
Sherif Khaled Clinic,"32 Falaky street, Awkaf, building",عيادة جراحة العظام,https://www.google.com/maps/place/Sherif+Khaled+Clinic/data=!4m7!3m6!1s0x1458411535203abb:0x252c02c22e6dc4fc!8m2!3d30.0445442!4d31.2394248!16s%2Fg%2F11jgsf86jm!19sChIJuzogNRVBWBQR_MRtLsICLCU?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/Sherif+Khaled+Clinic/data=!4m7!3m6!1s0x1458411535203abb:0x252c02c22e6dc4fc!8m2!3d30.0445442!4d31.2394248!16s%2Fg%2F11jgsf86jm!19sChIJuzogNRVBWBQR_MRtLsICLCU?authuser=0&hl=ar&rclk=1,4.8,20.0,012 80000845
عيادة اسنان دكتورة ايمان طنطاوي - المهندسين,010 62078492,طبيب أسنان,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D8%B3%D9%86%D8%A7%D9%86+%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D8%A7%D9%8A%D9%85%D8%A7%D9%86+%D8%B7%D9%86%D8%B7%D8%A7%D9%88%D9%8A+-+%D8%A7%D9%84%D9%85%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1458416900169e5f:0xb752742757b0727e!8m2!3d30.0548358!4d31.1991547!16s%2Fg%2F11h7t8fdjy!19sChIJX54WAGlBWBQRfnKwVyd0Urc?authuser=0&hl=ar&rclk=1,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D8%B3%D9%86%D8%A7%D9%86+%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D8%A7%D9%8A%D9%85%D8%A7%D9%86+%D8%B7%D9%86%D8%B7%D8%A7%D9%88%D9%8A+-+%D8%A7%D9%84%D9%85%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1458416900169e5f:0xb752742757b0727e!8m2!3d30.0548358!4d31.1991547!16s%2Fg%2F11h7t8fdjy!19sChIJX54WAGlBWBQRfnKwVyd0Urc?authuser=0&hl=ar&rclk=1,4.8,521.0,010 62078492
